SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
ACCT,5135,Federal Income Tax,101,105,55,45,1,0,0,0,0,0,4,3.5346534653465347,0.9619047619047619,0.0380952380952381,0.5445544554455446,0.44554455445544555,0.009900990099009901,0.0,0.0
ACCT,5160,Financial Statement,129,130,110,18,1,0,0,0,0,0,1,3.8449612403100777,0.9923076923076923,0.007692307692307693,0.8527131782945736,0.13953488372093023,0.007751937984496124,0.0,0.0
ACCT,5201,Intermed Mgmt Acct,69,69,33,36,0,0,0,0,0,0,0,3.4782608695652173,1.0,0.0,0.4782608695652174,0.5217391304347826,0.0,0.0,0.0
ACCT,5236,Taxation of Business,28,29,11,17,0,0,0,0,0,0,1,3.392857142857143,0.9655172413793104,0.034482758620689655,0.39285714285714285,0.6071428571428571,0.0,0.0,0.0
ACCT,6100,Financial Statement Analysis,13,13,12,1,0,0,0,0,0,0,0,3.923076923076923,1.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0
ACCT,6601,Internal Control,38,38,14,24,0,0,0,0,0,0,0,3.3684210526315788,1.0,0.0,0.3684210526315789,0.631578947368421,0.0,0.0,0.0
ACCT,6602,SEC - Standard Setting,42,42,23,19,0,0,0,0,0,0,0,3.5476190476190474,1.0,0.0,0.5476190476190477,0.4523809523809524,0.0,0.0,0.0
ACCT,6604,Advanced Management Accounting,18,18,16,2,0,0,0,0,0,0,0,3.888888888888889,1.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
ADDS,5011,Found. in Addiction Studies,23,23,16,7,0,0,0,0,0,0,0,3.6956521739130435,1.0,0.0,0.6956521739130435,0.30434782608695654,0.0,0.0,0.0
ADDS,5021,Intro to Evidence Based Pract.,13,15,9,3,0,1,0,0,0,0,2,3.5384615384615383,0.8,0.13333333333333333,0.6923076923076923,0.23076923076923078,0.0,0.07692307692307693,0.0
ADES,1221,Apparel Assembly,16,19,9,5,1,1,0,0,0,0,3,3.375,0.7894736842105263,0.15789473684210525,0.5625,0.3125,0.0625,0.0625,0.0
ADES,2213,Textile Analysis,54,54,10,21,17,4,0,0,0,2,0,2.611111111111111,0.8888888888888888,0.0,0.18518518518518517,0.3888888888888889,0.3148148148148148,0.07407407407407407,0.037037037037037035
ADES,2222,Apparel Studio II,19,19,12,6,1,0,0,0,0,0,0,3.5789473684210527,1.0,0.0,0.631578947368421,0.3157894736842105,0.05263157894736842,0.0,0.0
ADES,3217,Fashion: Trends & Comm,45,47,22,17,4,1,0,0,0,1,2,3.2888888888888888,0.9148936170212766,0.0425531914893617,0.4888888888888889,0.37777777777777777,0.08888888888888889,0.022222222222222223,0.022222222222222223
